speaker,party,state
Marcelo Castro,MDB,PI
Marcelo Delaroli,PR,RJ
Marcelo Matos,PSD,RJ
Marcelo Squassoni,PRB,SP
Marcelo Álvaro Antônio,PSL,MG
Marcio Marinho,REP,RJ
Marco Antônio Cabral,MDB,RJ
Marco Maia,PT,RS
Marco Tebaldi,PSDB,SC
Marcon,PT,RS
Marcos Abrão,PPS,GO
Marcos Montes,PSD,MG
Marcos Reategui,PSD,AP
Marcos Rogério,DEM,RO
Marcos Rotta,MDB,AM
Marcos Soares,DEM,RJ
Marcus Pestana,PSDB,MG
Marcus Vicente,PP,ES
Margarida Salomão,PT,MG
Maria Helena,MDB,RR
Maria do Rosário,PT,RS
Mariana Carvalho,PSDB,RO
Marinha Raupp,MDB,RO
Marquinho Mendes,MDB,RJ
Marx Beltrão,PSD,AL
Mauro Benevides,MDB,CE
Mauro Lopes,MDB,MG
Mauro Pereira,MDB,RS
Max Filho,PSDB,ES
Mendonça Filho,DEM,PE
Miguel Haddad,PSDB,SP
Miguel Lombardi,PR,SP
Milton Monti,PR,SP
Miro Teixeira,REDE,RJ
Misael Varella,PSD,MG
Missionário José Olimpio,DEM,SP
Moema Gramacho,PT,BA
Moisés Diniz,PCdoB,AC
Moroni Torgan,DEM,CE
Moses Rodrigues,MDB,CE
Márcio Marinho,PRB,BA
Mário Heringer,PDT,MG
Mário Negromonte Jr,PP,BA
Nelson Marchezan Jr.,PSDB,RS
Nelson Marquezelli,PTB,SP
Nelson Padovani,PSDB,PR
Nelson Pellegrino,PT,BA
Newton Cardoso Jr.,MDB,MG
Nilson Leitão,PSDB,MT
Nilson Pinto,PSDB,PA
Nilto Tatto,PT,SP
Odelmo Leão,PP,MG
Odorico Monteiro,PSB,CE
Onyx Lorenzoni,DEM,RS
Orlando Silva,PCdoB,SP
Osmar Serraglio,PP,PR
Osmar Terra,MDB,RS
Otavio Leite,PSDB,RJ
Padre João,PT,MG
Paes Landim,PTB,PI
Pastor Eurico,PATRI,PE
Pastor Franklin,PP,SP
Pastor Marco Feliciano,PODE,SP
Patrus Ananias,PT,MG
Pauderney Avelino,DEM,AM
Paulo Abi-Ackel,PSDB,MG
Paulo Azi,DEM,BA
Paulo Feijó,PR,RJ
Paulo Foletto,PSB,ES
Paulo Freire,PR,SP
Paulo Henrique Lustosa,PP,CE
Paulo Magalhães,PSD,BA
Paulo Maluf,PP,SP
Paulo Martins,PSDB,PR
Paulo Pereira da Silva,SD,SP
Paulo Pimenta,PT,RS
Paulo Teixeira,PT,SP
Paulão,PT,AL
Pedro Chaves,MDB,GO
Pedro Cunha Lima,PSDB,PB
Pedro Fernandes,PTB,MA
Pedro Uczai,PT,SC
Pedro Vilela,PSDB,AL
Penna,PV,SP
Pepe Vargas,PT,RS
Perpétua Almeida,PCdoB,AC
Pollyana Gama,PPS,SP
